county,tract,bg,STATE,pumano,countyname,statename
int,int,int,int,int,text,text
1,0,0,1,2000,Autauga, Alabama
3,0,0,1,0,Baldwin, Alabama
5,0,0,1,0,Barbour, Alabama
7,0,0,1,0,Bibb, Alabama
9,0,0,1,0,Blount, Alabama
13,0,0,1,0,Butler, Alabama
15,0,0,1,0,Calhoun, Alabama
17,0,0,1,0,Chambers, Alabama
19,0,0,1,0,Cherokee, Alabama
21,0,0,1,0,Chilton, Alabama
25,0,0,1,0,Clarke, Alabama
31,0,0,1,0,Coffee, Alabama
33,0,0,1,0,Colbert, Alabama
39,0,0,1,0,Covington, Alabama
43,0,0,1,0,Cullman, Alabama
45,0,0,1,0,Dale, Alabama
47,0,0,1,0,Dallas, Alabama
49,0,0,1,0,DeKalb, Alabama
51,0,0,1,0,Elmore, Alabama
53,0,0,1,0,Escambia, Alabama
55,0,0,1,0,Etowah, Alabama
59,0,0,1,0,Franklin, Alabama
61,0,0,1,0,Geneva, Alabama
69,0,0,1,0,Houston, Alabama
71,0,0,1,0,Jackson, Alabama
73,0,0,1,0,Jefferson, Alabama
77,0,0,1,0,Lauderdale, Alabama
79,0,0,1,0,Lawrence, Alabama
81,0,0,1,0,Lee, Alabama
83,0,0,1,0,Limestone, Alabama
87,0,0,1,0,Macon, Alabama
89,0,0,1,0,Madison, Alabama
91,0,0,1,0,Marengo, Alabama
93,0,0,1,0,Marion, Alabama
95,0,0,1,0,Marshall, Alabama
97,0,0,1,0,Mobile, Alabama
99,0,0,1,0,Monroe, Alabama
101,0,0,1,0,Montgomery, Alabama
103,0,0,1,0,Morgan, Alabama
109,0,0,1,0,Pike, Alabama
111,0,0,1,0,Randolph, Alabama
113,0,0,1,0,Russell, Alabama
115,0,0,1,0,St. Clair, Alabama
117,0,0,1,0,Shelby, Alabama
121,0,0,1,0,Talladega, Alabama
123,0,0,1,0,Tallapoosa, Alabama
125,0,0,1,0,Tuscaloosa, Alabama
127,0,0,1,0,Walker, Alabama
133,0,0,1,0,Winston, Alabama
20,0,0,2,0,Anchorage Municipality, Alaska
90,0,0,2,0,Fairbanks North Star Borough, Alaska
110,0,0,2,0,Juneau City and Borough, Alaska
122,0,0,2,0,Kenai Peninsula Borough, Alaska
170,0,0,2,0,Matanuska-Susitna Borough, Alaska
1,0,0,4,0,Apache, Arizona
3,0,0,4,0,Cochise, Arizona
5,0,0,4,0,Coconino, Arizona
7,0,0,4,0,Gila, Arizona
9,0,0,4,0,Graham, Arizona
12,0,0,4,0,La Paz, Arizona
13,0,0,4,0,Maricopa, Arizona
15,0,0,4,0,Mohave, Arizona
17,0,0,4,0,Navajo, Arizona
19,0,0,4,0,Pima, Arizona
21,0,0,4,0,Pinal, Arizona
23,0,0,4,0,Santa Cruz, Arizona
25,0,0,4,0,Yavapai, Arizona
27,0,0,4,0,Yuma, Arizona
3,0,0,5,0,Ashley, Arkansas
5,0,0,5,0,Baxter, Arkansas
7,0,0,5,0,Benton, Arkansas
9,0,0,5,0,Boone, Arkansas
15,0,0,5,0,Carroll, Arkansas
19,0,0,5,0,Clark, Arkansas
23,0,0,5,0,Cleburne, Arkansas
27,0,0,5,0,Columbia, Arkansas
29,0,0,5,0,Conway, Arkansas
31,0,0,5,0,Craighead, Arkansas
33,0,0,5,0,Crawford, Arkansas
35,0,0,5,0,Crittenden, Arkansas
45,0,0,5,0,Faulkner, Arkansas
51,0,0,5,0,Garland, Arkansas
55,0,0,5,0,Greene, Arkansas
57,0,0,5,0,Hempstead, Arkansas
59,0,0,5,0,Hot Spring, Arkansas
63,0,0,5,0,Independence, Arkansas
69,0,0,5,0,Jefferson, Arkansas
71,0,0,5,0,Johnson, Arkansas
83,0,0,5,0,Logan, Arkansas
85,0,0,5,0,Lonoke, Arkansas
91,0,0,5,0,Miller, Arkansas
93,0,0,5,0,Mississippi, Arkansas
103,0,0,5,0,Ouachita, Arkansas
107,0,0,5,0,Phillips, Arkansas
111,0,0,5,0,Poinsett, Arkansas
113,0,0,5,0,Polk, Arkansas
115,0,0,5,0,Pope, Arkansas
119,0,0,5,0,Pulaski, Arkansas
123,0,0,5,0,St. Francis, Arkansas
125,0,0,5,0,Saline, Arkansas
131,0,0,5,0,Sebastian, Arkansas
139,0,0,5,0,Union, Arkansas
143,0,0,5,0,Washington, Arkansas
145,0,0,5,0,White, Arkansas
149,0,0,5,0,Yell, Arkansas
1,0,0,6,0,Alameda, California
5,0,0,6,0,Amador, California
7,0,0,6,0,Butte, California
9,0,0,6,0,Calaveras, California
11,0,0,6,0,Colusa, California
13,0,0,6,0,Contra Costa, California
15,0,0,6,0,Del Norte, California
17,0,0,6,0,El Dorado, California
19,0,0,6,0,Fresno, California
21,0,0,6,0,Glenn, California
23,0,0,6,0,Humboldt, California
25,0,0,6,0,Imperial, California
29,0,0,6,0,Kern, California
31,0,0,6,0,Kings, California
33,0,0,6,0,Lake, California
35,0,0,6,0,Lassen, California
37,0,0,6,0,Los Angeles, California
