variablename,description,type,defaultvar
text,text,text,bigint
ACR,Lot size,H,0
ADJUST,Adjustment factor for dollar amounts (6 implied decimal places),H,0
AGS,Sales of Agriculture Product,H,0
BDS,Bedrooms,H,0
BLD,Units in structure,H,0
BUS,Business or medical office on property,H,0
CONP,Condo fee (monthly amount),H,0
DIVISION,Division code,H,0
ELEP,Electricity (monthly cost),H,0
FACRP,Lot size allocation,H,0
FAGSP,Sales of Agricultural Products allocation,H,0
FBDSP,Number of bedrooms allocation,H,0
FBLDP,Units in structure allocation,H,0
FBUSP,Business or medical office on property allocation,H,0
FCONP,Condominium fee allocation,H,0
FELEP,Electricity (monthly cost) allocation,H,0
FES,Family type and employment status,H,0
FFSP,Food stamp amount (yearly amount) allocation,H,0
FFULP,House heating fuel (yearly cost) allocation,H,0
FGASP,Gas (monthly cost) allocation,H,0
FHFLP,House heating fuel allocation,H,0
FINCP,Family income,H,0
FINSP,Fire hazard flood insurance allocation,H,0
FKITP,Complete kitchen facilities allocation,H,0
FMHP,Mobile home costs allocation,H,0
FMRGIP,Payment include fire hazard flood insurance allocation,H,0
FMRGP,Regular mortgage payment allocation,H,0
FMRGTP,Payment include real estate taxes allocation,H,0
FMRGXP,Mortgage status allocation,H,0
FMVYP,When moved into this house or apartment allocation,H,0
FPLMP,Complete plumbing facilities allocation,H,0
FRMSP,Rooms allocation,H,0
FRNTMP,Meals included in rent allocation,H,0
FRNTP,Monthly rent allocation,H,0
FS,Food stamp amount,H,0
FSMP,Second mortgage payment allocation,H,0
FSMXHP,Home equity loan status allocation,H,0
FSMXSP,Second mortgage status allocation,H,0
FTAXP,Taxes on property allocation,H,0
FTELP,Telephones in house allocation,H,0
FTENP,Tenure allocation,H,0
FULP,House heating fuel (yearly cost),H,0
FVACSP,Vacancy status allocation,H,0
FVALP,Value allocation,H,0
FVEHP,Vehicles available by household allocation,H,0
FWATP,Water (yearly cost) allocation,H,0
FYBLP,When structure first built allocation,H,0
GASP,Gas (monthly cost),H,0
GRNTP,Gross rent,H,0
GRPIP3,Gross rent as a percentage of household income past 12 months,H,0
HFL,House heating fuel,H,0
HHL,Household language,H,0
HHT,Household/family type,H,1
HINCP,Household income,H,1
HUGCL,Flag to indicate grandchild living in H unit,H,0
HUPAC,Family presence and age of children,H,0
HUPAOC,HH presence and age of own children,H,1
HUPARC,HH presence and age of related children,H,0
INSP,Fire/hazard/flood insurance (yearly amount),H,0
KIT,Complete kitchen facilities,H,0
LNGI,Linguistic isolation,H,0
MHP,Mobile home costs (yearly amount),H,0
MRGI,Payment include fire/hazard/flood insurance,H,0
MRGP,Mortgage payment (monthly amount),H,0
MRGT, Payment include real estate taxes,H,0
MRGX,Mortgage status,H,0
MV,When moved into this house or apartment,H,0
NOC,Number of own children in household (unweighted),H,0
NP,Number of person records following this H record,H,1
NPF,Number of persons in family (unweighted),H,0
NPP,Grandparent headed household with no parent present,H,0
NR,Presence of nonrelative in household,H,0
NRC,Number of related children in household (unweighted),H,0
OCPIP,Selected monthly owner costs as a percentage of household income during the past 12 months,H,0
PARTNER,Unmarried parnter household,H,0
PLM,Complete plumbing facilities,H,0
PSF,Presence of subfamilies in Household,H,0
PUMA,Public use microdata area code (PUMA)Designates area of 100000 or more population.  Use with ST for unique code.,H,1
R18,Presence of persons under 18 years in household (unweighted),H,0
R60,Presence of persons 60 years and over in household (unweighted),H,0
R65,Presence of persons 65 years and over in household (unweighted),H,0
REGION,Region code,H,0
RESMODE,Response mode,H,0
RMS,Rooms,H,0
RNTM,Meals included in rent,H,0
RNTP,Monthly rent,H,0
RT,Record Type,H,0
SERIALNO,H unit/GQ person serial number,H,1
SMOCP,Selected monthly owner costs,H,0
SMP,Second mortgage payment (monthly amount),H,0
SMX,Second mortgage or home equity loan status,H,0
SRNT,Specified rent unit,H,0
ST,State code,H,1
SVAL,Specified value unit,H,0
TAXP,Property taxes (yearly amount),H,0
TEL,Telephone in Unit,H,0
TEN,Tenure,H,0
TYPE,Type of unit,H,1
VACS,Vacancy status,H,0
VAL,Property value,H,0
VEH,Vehicles (1 ton or less) available,H,0
WATP,Water (yearly cost),H,0
WGTP,H Weight,H,0
WGTP1,H Weight replicate 1,H,0
WGTP10,H Weight replicate 10,H,0
WGTP11,H Weight replicate 11,H,0
