count	restype	hhsize	income	age_range
6	1	1	NULL	NULL
11	1	1	NULL	31-40
6	1	1	NULL	41-50
30	1	1	NULL	51-65
1	1	1	NULL	<=30
36	1	1	NULL	>65
5	1	1	1	NULL
22	1	1	1	31-40
36	1	1	1	41-50
73	1	1	1	51-65
22	1	1	1	<=30
171	1	1	1	>65
3	1	1	2	NULL
73	1	1	2	31-40
101	1	1	2	41-50
142	1	1	2	51-65
21	1	1	2	<=30
74	1	1	2	>65
3	1	2	NULL	NULL
15	1	2	NULL	31-40
25	1	2	NULL	41-50
53	1	2	NULL	51-65
3	1	2	NULL	<=30
54	1	2	NULL	>65
4	1	2	1	NULL
21	1	2	1	31-40
40	1	2	1	41-50
75	1	2	1	51-65
12	1	2	1	<=30
132	1	2	1	>65
18	1	2	2	NULL
140	1	2	2	31-40
274	1	2	2	41-50
526	1	2	2	51-65
72	1	2	2	<=30
218	1	2	2	>65
3	1	3	NULL	NULL
10	1	3	NULL	31-40
13	1	3	NULL	41-50
19	1	3	NULL	51-65
3	1	3	NULL	<=30
9	1	3	NULL	>65
1	1	3	1	NULL
29	1	3	1	31-40
27	1	3	1	41-50
18	1	3	1	51-65
13	1	3	1	<=30
8	1	3	1	>65
9	1	3	2	NULL
196	1	3	2	31-40
232	1	3	2	41-50
166	1	3	2	51-65
75	1	3	2	<=30
30	1	3	2	>65
3	1	4	NULL	NULL
24	1	4	NULL	31-40
15	1	4	NULL	41-50
10	1	4	NULL	51-65
1	1	4	NULL	<=30
1	1	4	1	NULL
21	1	4	1	31-40
22	1	4	1	41-50
6	1	4	1	51-65
10	1	4	1	<=30
1	1	4	1	>65
9	1	4	2	NULL
271	1	4	2	31-40
313	1	4	2	41-50
64	1	4	2	51-65
57	1	4	2	<=30
2	1	4	2	>65
8	1	5	NULL	31-40
4	1	5	NULL	41-50
1	1	5	NULL	51-65
4	1	5	1	31-40
7	1	5	1	41-50
1	1	5	1	51-65
5	1	5	1	<=30
7	1	5	2	NULL
112	1	5	2	31-40
97	1	5	2	41-50
15	1	5	2	51-65
16	1	5	2	<=30
3	1	5	2	>65
1	1	6	NULL	NULL
1	1	6	NULL	51-65
4	1	6	1	31-40
5	1	6	1	41-50
1	1	6	1	51-65
1	1	6	1	<=30
1	1	6	2	NULL
31	1	6	2	31-40
14	1	6	2	41-50
4	1	6	2	51-65
3	1	6	2	<=30
1	1	6	2	>65
3	1	7	NULL	31-40
